,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Start long,Start circ,End long,End circ,,,,,,,,,,,,,
,,1,571,354,588,380,,,,,,,,,,,,,
,,2,1165,724,1194,750,,,,,,,,,,,,,
,,3,1180,363,1200,385,,,,,,,,,,,,,
,,4,1352,889,1371,913,,,,,,,,,,,,Axial End,
,,5,1356,331,1380,353,,,,,,,,,,,,,
,,6,1449,329,1462,348,,,,,,,,,,,,,
,,7,1828,363,1855,390,,,,,,,,,,,,,
,,8,1860,822,1882,857,,,,,,,,,,,,,
,,9,1941,813,1960,850,,,,,,,,,,,,,
,,10,2507,857,2530,890,,,,,,,,,,,,,
,,11,2600,667,2625,692,,,,,,,,,,,,,
,,12,2751,830,2782,860,,,,,,,,,,,,,
,,13,2810,760,2840,785,,,,,,,,,,,,,
,,14,3460,520,3485,545,,,,,,,,,,,,,
,,15,3930,613,3955,636,,,,,,,,,,,,,
,,16,756,830,781,860,,,,,,,,,,,,,
